"Image.Id.","Gene.Description"
21652,"catenin (cadherin-associated protein), alpha 1 (102kD)"
25725,"farnesyl-diphosphate farnesyltransferase 1"
26184,"phosphofructokinase, platelet"
22260,"cytochrome c-1"
22293,"uroporphyrinogen III synthase (congenital erythropoietic porphyria)"
22493,"ribosomal protein L26"
23019,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"
23132,"pre-mRNA splicing factor SF3a (120 kDa subunit), similar to S. cerevisiae PRP21"
24145,"adenylyl cyclase-associated protein"
25584,"ubiquinol-cytochrome c reductase core protein II"
31143,"ribosomal protein, large, P0"
31169,"capping protein (actin filament) muscle Z-line, alpha 2"
27549,"heterogeneous nuclear ribonucleoprotein A1"
27624,"coatomer protein complex, subunit alpha"
27848,"acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)"
28410,"Human AMP deaminase isoform L (AMPD2) mRNA, exons 6-18, partial cds"
29054,"ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)"
34945,"Tu translation elongation factor, mitochondrial"
35483,"small nuclear ribonucleoprotein polypeptide A"
32875,"Death associated protein 3"
32898,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial"
33525,"eukaryotic translation elongation factor 1 gamma"
33632,"glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)"
34357,"actin, beta"
34355,"calmodulin 2 (phosphorylase kinase, delta)"
34396,"Human 90-kDa heat-shock protein gene, cDNA, complete cds"
36950,"phosphofructokinase, liver"
39285,"glutamate dehydrogenase 1"
39796,"3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)"
37196,"accessory proteins BAP31/BAP29"
37904,"glycogen synthase kinase 3 beta"
38471,"Human cyclin G1 interacting protein (1500GX1) mRNA, complete cds"
39093,"methionine aminopeptidase; eIF-2-associated p67"
39993,"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"
42352,"adenine nucleotide translocator 3 (liver)"
42576,"ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)"
40026,"adenine nucleotide translocator 1 (skeletal muscle)"
40304,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
40360,"eukaryotic translation initiation factor 2B, subunit 5 (epsilon, 82kD)"
41199,"chromatin assembly factor 1, subunit B (p60)"
41452,"spermidine/spermine N1-acetyltransferase"
42096,"chaperonin containing TCP1, subunit 3 (gamma)"
42993,"cytochrome c oxidase subunit VIc"
44255,"ribosomal protein, mitochondrial, L3"
43021,"histidyl-tRNA synthetase"
43231,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"
43338,"heterogeneous nuclear ribonucleoprotein C (C1/C2)"
43241,"eukaryotic translation initiation factor 4A, isoform 2"
43550,"lactate dehydrogenase A"
43563,"cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1"
44537,"small nuclear ribonucleoprotein polypeptides B and B1"
50359,"mannose phosphate isomerase"
50666,"dolichyl-diphosphooligosaccharide-protein glycosyltransferase"
50941,"cadherin 13, H-cadherin (heart)"
45233,"chaperonin containing TCP1, subunit 6A (zeta 1)"
45941,"DNA (cytosine-5-)-methyltransferase 1"
46171,"eukaryotic translation initiation factor 4A, isoform 1"
47110,"heterogeneous nuclear ribonucleoprotein D"
47202,"ADP-ribosylation factor 1"
47833,"Tubulin, alpha, brain-specific"
50117,"glyceraldehyde-3-phosphate dehydrogenase"
51293,"aminoacylase 1"
51666,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"
51740,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit"
